timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553042228474,342,HTTP Request,200,,Thread Group 1-1,,true,,691,259,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Dark+Knight&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,342,0,49
1553042228817,244,HTTP Request,200,,Thread Group 1-1,,true,,14416,252,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=star&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,242,0,33
1553042229062,240,HTTP Request,200,,Thread Group 1-1,,true,,1675,252,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Cake&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,240,0,32
1553042229303,242,HTTP Request,200,,Thread Group 1-1,,true,,75,260,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Forrest+Gump&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,242,0,39
1553042229545,247,HTTP Request,200,,Thread Group 1-1,,true,,75,263,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=The+Sixth+Sense&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,247,0,40
1553042229792,249,HTTP Request,200,,Thread Group 1-1,,true,,693,262,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Bruce+Almighty&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,249,0,40
1553042230041,241,HTTP Request,200,,Thread Group 1-1,,true,,75,259,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Being+Human&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,241,0,38
1553042230282,247,HTTP Request,200,,Thread Group 1-1,,true,,75,261,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Batman+Begins&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,247,0,40
1553042230530,207,HTTP Request,200,,Thread Group 1-1,,true,,75,267,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=Million+Dollar+Baby&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,207,0,42
1553042230737,263,HTTP Request,200,,Thread Group 1-1,,true,,75,262,1,1,http://13.57.32.177:8080/project1-master-team90/api/movies?title=The+Two+Towers&year=&director=&starname=&genre=&letter=&pagenum=1&numperpage=50&sortby=p.rating&sort=DESC,263,0,35
